obj,time,method,robj
188.5338421754406,35.86717616799999,PGD,0.30107528879501
188.53383982150282,35.869278689999994,PGD,0.3010729348572222
188.5338374675679,35.871263414999994,PGD,0.301070580922305
188.5338351136337,35.87322356699999,PGD,0.3010682269880983
188.5338327597034,35.87514151599999,PGD,0.3010658730577854
188.53383040577515,35.87704106699999,PGD,0.3010635191295473
188.53382805185058,35.87893203699999,PGD,0.3010611652049756
188.53382569792728,35.880898243999994,PGD,0.3010588112816829
188.5338233440068,35.882878317999996,PGD,0.3010564573612039
188.5338209900904,35.88483631999999,PGD,0.3010541034447892
188.5338186361744,35.88680325199999,PGD,0.30105174952880087
188.53381628226307,35.88876132499999,PGD,0.3010493956174737
188.5338139283533,35.890715926999995,PGD,0.3010470417077097
188.53381157444616,35.89266477899999,PGD,0.3010446878005605
188.53380922054072,35.89467022099999,PGD,0.3010423338951166
188.5338068666396,35.896690252999996,PGD,0.3010399799939928
188.53380451274137,35.898661448999995,PGD,0.301037626095768
188.53380215884317,35.90058868399999,PGD,0.30103527219757165
188.53379980494836,35.90252390999999,PGD,0.30103291830275747
188.53379745105812,35.90447177699999,PGD,0.3010305644125192
188.53379509716905,35.90644500999999,PGD,0.3010282105234462
188.5337927432827,35.90839175399999,PGD,0.3010258566371017
188.53379038939886,35.91037216299999,PGD,0.3010235027532583
188.5337880355174,35.912349946999996,PGD,0.3010211488718023
188.53378568163902,35.91438959599999,PGD,0.3010187949934159
188.53378332776245,35.916367128999994,PGD,0.30101644111684844
188.533780973889,35.918316626999996,PGD,0.3010140872434074
188.53377862001886,35.92026048799999,PGD,0.30101173337326326
188.5337762661513,35.92223645399999,PGD,0.3010093795057055
188.5337739122858,35.924216971999996,PGD,0.3010070256401941
188.5337715584218,35.92616780699999,PGD,0.30100467177618906
188.5337692045607,35.92812206599999,PGD,0.30100231791511145
188.53376685070302,35.93007499899999,PGD,0.300999964057416
188.5337644968486,35.93212315699999,PGD,0.3009976102029891
188.53376214299658,35.93411046799999,PGD,0.300995256350978
188.5337597891459,35.936097481999994,PGD,0.30099290250030275
188.53375743529847,35.93806444599999,PGD,0.30099054865286756
188.53375508145342,35.942482000999995,PGD,0.3009881948078198
188.5337527276113,35.94465327599999,PGD,0.30098584096569947
188.5337503737724,35.94664773499999,PGD,0.3009834871267908
188.53374801993434,35.948616136999995,PGD,0.30098113328873477
188.53374566610123,35.950584565999996,PGD,0.3009787794556241
188.5337433122675,35.95256492499999,PGD,0.3009764256218882
188.53374095843944,35.95448525199999,PGD,0.3009740717938366
188.53373860461295,35.95658130899999,PGD,0.30097171796734823
188.53373625078902,35.95860944599999,PGD,0.3009693641434178
188.5337338969676,35.96063093499999,PGD,0.30096701032198847
188.5337315431496,35.96265613199999,PGD,0.3009646565039982
188.53372918933167,35.96468291699999,PGD,0.3009623026860647
188.5337268355188,35.96669136599999,PGD,0.30095994887319033
188.53372448170742,35.96870458499999,PGD,0.3009575950618223
188.5337221278975,35.970717738999994,PGD,0.30095524125190376
188.53371977409296,35.97272643099999,PGD,0.30095288744735693
188.5337174202888,35.97473691999999,PGD,0.300950533643208
188.5337150664881,35.976747571999994,PGD,0.3009481798424981
188.53371271269157,35.97875060999999,PGD,0.3009458260459662
188.53371035889487,35.98071647599999,PGD,0.30094347224926377
188.53370800510146,35.982685210999996,PGD,0.30094111845585825
188.5337056513116,35.98462988799999,PGD,0.30093876466600544
188.53370329752394,35.986549450999995,PGD,0.3009364108783411
188.53370094373867,35.988487821999996,PGD,0.3009340570930642
188.53369858995543,35.99050918999999,PGD,0.30093170330983365
188.53369623617527,35.992550066999996,PGD,0.30092934952967265
188.53369388239886,35.99456318399999,PGD,0.3009269957532633
188.53369152862373,35.996567451999994,PGD,0.30092464197813296
188.5336891748517,35.99857728999999,PGD,0.30092228820610056
188.53368682108226,36.000613726999994,PGD,0.30091993443665455
188.5336844673154,36.002662408999996,PGD,0.3009175806697949
188.53368211355027,36.00467660799999,PGD,0.300915226904669
188.53367975978898,36.006698754,PGD,0.30091287314338
188.53367740602948,36.00874121,PGD,0.3009105193838816
188.53367505227214,36.010767748999996,PGD,0.3009081656265432
188.53367269851847,36.01275894,PGD,0.30090581187287124
188.533670344767,36.014720837,PGD,0.30090345812138775
188.53366799101858,36.016684219999995,PGD,0.3009011043729738
188.53366563727192,36.018634017,PGD,0.300898750626322
188.5336632835281,36.02064495,PGD,0.30089639688251235
188.53366092978735,36.022690313,PGD,0.30089404314174384
188.53365857604837,36.024717372999994,PGD,0.3008916894027659
188.533656222313,36.02673709,PGD,0.3008893356673975
188.5336538685803,36.028753544,PGD,0.30088698193470076
188.5336515148492,36.030789426999995,PGD,0.3008846282035956
188.53364916112184,36.032835610999996,PGD,0.30088227447624216
188.53364680739537,36.034855263999994,PGD,0.30087992074976977
188.53364445367217,36.036896924,PGD,0.3008775670265659
188.5336420999527,36.03903249299999,PGD,0.3008752133070852
188.53363974623431,36.041141638999996,PGD,0.300872859588713
188.53363739251927,36.043176554999995,PGD,0.30087050587366615
188.53363503880755,36.045191759,PGD,0.3008681521619446
188.5336326850963,36.047212695999995,PGD,0.30086579845070627
188.5336303313899,36.049240592,PGD,0.3008634447442996
188.53362797768418,36.051296222,PGD,0.30086109103857506
188.5336256239832,36.053364505999994,PGD,0.30085873733759694
188.5336232702814,36.055370296999996,PGD,0.3008563836357946
188.53362091658636,36.057401641999995,PGD,0.3008540299407566
188.53361856289123,36.059461180999996,PGD,0.30085167624563336
188.53361620919944,36.061488098,PGD,0.30084932255383545
188.5336138555101,36.063512417999995,PGD,0.30084696886451023
188.5336115018242,36.065527605999996,PGD,0.3008446151785956
188.533609148139,36.067596562,PGD,0.30084226149339155
188.53360679445993,36.069650724999995,PGD,0.30083990781432657
188.53360444077902,36.071674855999994,PGD,0.3008375541334142
188.53360208710313,36.073756401999994,PGD,0.3008352004575324
188.5335997334294,36.075836945999995,PGD,0.3008328467838107
188.53359737975916,36.077873786,PGD,0.3008304931135565
188.53359502608947,36.079854493999996,PGD,0.30082813944387066
188.5335926724241,36.081826696,PGD,0.30082578577850494
188.533590318761,36.083830033,PGD,0.30082343211538454
188.5335879651006,36.085860933999996,PGD,0.3008210784549926
188.5335856114427,36.087895501999995,PGD,0.3008187247971018
188.53358325778598,36.089877142999995,PGD,0.3008163711403763
188.533580904134,36.091850885,PGD,0.3008140174883972
188.53357855048313,36.096379483,PGD,0.30081166383752656
188.53357619683555,36.098605105,PGD,0.3008093101899528
188.53357384319096,36.100630312,PGD,0.3008069565453634
188.5335714895477,36.102642911,PGD,0.30080460290210975
188.53356913590784,36.104661494999995,PGD,0.3008022492622383
188.53356678227053,36.106683133999994,PGD,0.3007998956249248
188.5335644286361,36.108724064,PGD,0.30079754199051034
188.5335620750028,36.110753351999996,PGD,0.3007951883572043
188.5335597213749,36.112756805,PGD,0.3007928347292984
188.53355736774776,36.114723774,PGD,0.3007904811021599
188.5335550141224,36.116671395,PGD,0.30078812747681194
188.5335526605004,36.118640772,PGD,0.30078577385478933
188.53355030688124,36.120660525999995,PGD,0.3007834202356373
188.5335479532652,36.12270821,PGD,0.3007810666196117
188.53354559965118,36.124716459,PGD,0.30077871300557557
188.5335432460398,36.126723565999995,PGD,0.3007763593942111
188.53354089243112,36.128746674999995,PGD,0.3007740057855183
188.53353853882447,36.130809975,PGD,0.3007716521788718
188.53353618522078,36.132908707999995,PGD,0.3007692985751812
188.53353383161965,36.134942011,PGD,0.30076694497404854
188.533531478022,36.136952855,PGD,0.30076459137641176
188.53352915800465,36.138948944,PGD,0.3007622713590531
188.5335268607182,36.140893893999994,PGD,0.30075997407261024
188.53352456345695,36.142888912,PGD,0.300757676811349
188.5335222662103,36.144917471999996,PGD,0.30075537956469656
188.53351996897035,36.146939339999996,PGD,0.3007530823247516
188.53351767173436,36.148955736999994,PGD,0.3007507850887573
188.5335153745034,36.151005350999995,PGD,0.3007484878577936
188.5335130772732,36.153031145,PGD,0.30074619062759733
188.53351078004738,36.155035065,PGD,0.300743893401778
188.5335084828244,36.157046163,PGD,0.3007415961788008
188.53350618560194,36.159146121,PGD,0.3007392989563352
188.53350388838393,36.161191343999995,PGD,0.30073700173833184
188.53350159116633,36.163317492,PGD,0.30073470452072637
188.53349929395299,36.165355737,PGD,0.30073240730738415
188.53349699674033,36.167287113,PGD,0.30073011009472406
188.533494699531,36.169267741,PGD,0.3007278128853893
188.5334924023255,36.171307176,PGD,0.3007255156798915
188.53349010512082,36.173351385,PGD,0.3007232184752179
188.53348780791896,36.175392175999995,PGD,0.30072092127335803
188.53348551071963,36.177409275,PGD,0.3007186240740277
188.53348321352428,36.179427251,PGD,0.30071632687867644
188.5334809163286,36.181479044,PGD,0.30071402968301253
188.53347861913704,36.183566768,PGD,0.30071173249144134
188.53347632194655,36.185581059,PGD,0.3007094353009502
188.5334740247596,36.187593516,PGD,0.30070713811401173
188.53347172757557,36.189575413,PGD,0.3007048409299723
188.5334694303928,36.191542734,PGD,0.30070254374721184
188.5334671332143,36.193555962,PGD,0.3007002465686862
188.53346483603573,36.195588717999996,PGD,0.30069794939013217
188.53346253886107,36.197617793999996,PGD,0.3006956522154719
188.53346024168968,36.19962332,PGD,0.3006933550440801
188.5334579445192,36.201653404,PGD,0.30069105787359784
188.53345564735045,36.203614032,PGD,0.3006887607048493
188.53345335018577,36.205578683,PGD,0.30068646354016504
188.53345105302387,36.207535411,PGD,0.3006841663782661
188.53344875586322,36.209522886,PGD,0.30068186921761775
